Date,Price,Open,High,Low,Vol.,Change %
2018-02-08,10576.85,10518.5,10637.8,10479.55,239.41M,0.0096
2018-02-07,10476.7,10607.2,10614.0,10446.4,258.10M,-0.0021
2018-02-06,10498.25,10295.15,10594.15,10276.3,274.66M,-0.0158
2018-02-05,10666.55,10604.3,10702.75,10586.8,247.48M,-0.0087
2018-02-02,10760.6,10938.2,10954.95,10736.1,291.43M,-0.0233
2018-02-01,11016.9,11044.55,11117.35,10878.8,315.74M,-0.001
2018-01-31,11027.7,11018.8,11058.5,10979.3,253.46M,-0.002
2018-01-30,11049.65,11120.85,11121.1,11033.9,234.97M,-0.0073
2018-01-29,11130.4,11079.35,11171.55,11075.95,249.22M,0.0055
2018-01-25,11069.65,11095.6,11095.6,11009.2,340.47M,-0.0015
2018-01-24,11086.0,11069.35,11110.1,11046.15,292.20M,0.0002
2018-01-23,11083.7,10997.4,11092.9,10994.55,293.45M,0.0107
2018-01-22,10966.2,10883.2,10975.1,10881.4,238.82M,0.0066
2018-01-19,10894.7,10829.2,10906.85,10793.9,214.01M,0.0072
2018-01-18,10817.0,10873.4,10887.5,10782.4,321.61M,0.0026
2018-01-17,10788.55,10702.45,10803.0,10666.75,260.49M,0.0082
2018-01-16,10700.45,10761.5,10762.35,10687.85,217.47M,-0.0038
2018-01-15,10741.55,10718.5,10782.65,10713.8,181.26M,0.0056
2018-01-12,10681.25,10682.55,10690.4,10597.1,180.59M,0.0028
2018-01-11,10651.2,10637.05,10664.6,10612.35,158.63M,0.0018
2018-01-10,10632.2,10652.05,10655.5,10592.7,181.90M,-0.0005
2018-01-09,10637.0,10645.1,10659.15,10603.6,211.29M,0.0013
2018-01-08,10623.6,10591.7,10631.2,10588.55,174.18M,0.0061
2018-01-05,10558.85,10534.25,10566.1,10520.1,186.47M,0.0051
2018-01-04,10504.8,10469.4,10513.0,10441.45,180.26M,0.0059
2018-01-03,10443.2,10482.65,10503.6,10429.55,172.52M,0.0001
2018-01-02,10442.2,10477.55,10495.2,10404.65,158.09M,0.0006
