Date,Price,Open,High,Low,Change %
2011-09-02,74.254,73.882,74.527,73.825,0.0047
2011-09-01,73.907,74.368,74.466,73.65,-0.0072
2011-08-31,74.444,75.119,75.2,74.313,-0.0092
2011-08-30,75.138,75.577,75.629,74.715,-0.0058
2011-08-29,75.576,75.34,75.632,74.962,0.0
2011-08-26,75.576,74.939,75.612,74.704,0.0078
2011-08-25,74.992,75.244,75.715,74.861,-0.0043
2011-08-24,75.317,75.218,76.004,74.945,0.0007
2011-08-23,75.266,74.992,75.638,74.908,0.0034
2011-08-22,75.011,75.225,75.986,74.873,-0.0023
2011-08-19,75.184,75.489,75.906,75.011,-0.0049
2011-08-18,75.557,75.077,75.625,74.652,0.0055
2011-08-17,75.14,74.636,75.17,74.058,0.0066
2011-08-16,74.651,74.299,74.679,73.766,0.0043
2011-08-15,74.329,73.918,74.415,73.443,0.0058
2011-08-12,73.902,73.746,74.049,73.21,0.0018
2011-08-11,73.766,72.961,73.766,72.823,0.0107
2011-08-10,72.987,73.811,73.837,72.948,-0.0105
2011-08-09,73.76,73.365,74.247,73.026,0.0052
2011-08-08,73.38,73.624,74.002,73.099,0.001
2011-08-05,73.305,72.422,73.39,72.103,0.0117
2011-08-04,72.459,72.823,72.931,72.29,-0.005
2011-08-03,72.823,72.02,72.851,71.739,0.0104
2011-08-02,72.076,71.835,72.314,71.677,0.0036
2011-08-01,71.819,72.457,72.626,71.503,-0.0107
2011-07-29,72.596,72.146,72.8,71.735,0.0058
2011-07-28,72.177,71.987,72.327,71.74,0.0024
2011-07-27,72.004,72.535,72.597,71.952,-0.0071
2011-07-26,72.522,72.275,72.591,71.993,0.0037
2011-07-25,72.255,72.403,72.531,72.067,-0.0007
2011-07-22,72.306,72.461,72.514,72.126,-0.0018
2011-07-21,72.433,71.792,72.583,71.566,0.0087
2011-07-20,71.806,71.723,71.909,71.434,0.0003
2011-07-19,71.786,71.479,71.994,71.431,0.0034
2011-07-18,71.543,71.723,71.903,71.317,-0.004
2011-07-15,71.832,71.815,71.986,71.55,-0.0003
2011-07-14,71.856,71.82,72.105,71.534,0.0007
2011-07-13,71.805,71.23,71.881,70.905,0.0092
2011-07-12,71.153,70.741,71.308,70.429,0.0055
2011-07-11,70.764,71.13,71.194,70.634,-0.0071
2011-07-08,71.272,70.69,71.274,70.43,0.0077
2011-07-07,70.726,71.156,71.255,70.646,-0.0061
2011-07-06,71.161,71.347,71.499,70.792,-0.0029
2011-07-05,71.366,71.467,71.668,71.119,-0.0016
2011-07-04,71.479,71.669,71.761,71.307,-0.0038
2011-07-01,71.749,71.701,71.797,71.254,0.0003
2011-06-30,71.728,72.042,72.154,71.364,-0.0049
2011-06-29,72.08,72.021,72.112,71.663,0.0003
2011-06-28,72.055,71.968,72.207,71.583,0.0007
2011-06-27,72.004,71.809,72.139,71.329,0.0026
2011-06-24,71.815,71.975,72.161,71.639,-0.0024
2011-06-23,71.988,72.117,72.165,71.493,-0.0021
2011-06-22,72.137,72.799,72.891,71.912,-0.0096
2011-06-21,72.837,72.897,73.147,72.541,-0.0009
2011-06-20,72.9,72.394,72.994,72.035,0.0047
2011-06-17,72.56,72.604,72.678,72.146,-0.0005
2011-06-16,72.594,72.404,72.798,72.124,0.0023
2011-06-15,72.424,73.252,73.317,72.325,-0.0114
2011-06-14,73.26,73.455,73.593,73.022,-0.0032
2011-06-13,73.495,72.598,73.536,72.341,0.012
2011-06-10,72.621,73.214,73.305,72.499,-0.0081
2011-06-09,73.213,73.277,73.604,73.028,-0.0012
2011-06-08,73.303,73.429,73.481,72.995,-0.0024
2011-06-07,73.479,73.189,73.595,72.747,0.0038
2011-06-06,73.203,73.617,73.788,73.074,-0.0061
2011-06-03,73.654,73.357,73.702,72.979,0.0034
2011-06-02,73.401,73.201,73.66,73.075,0.0023
2011-06-01,73.234,74.106,74.244,73.188,-0.0121
2011-05-31,74.132,74.274,74.525,73.969,-0.0019
2011-05-30,74.271,74.44,74.6,74.12,-0.0042
2011-05-27,74.585,74.242,74.617,73.977,0.0043
2011-05-26,74.264,73.754,74.345,73.657,0.0067
2011-05-25,73.767,73.145,73.862,72.784,0.0082
2011-05-24,73.167,72.898,73.293,72.566,0.0033
2011-05-23,72.927,72.902,73.34,72.707,-0.0003
2011-05-20,72.952,72.982,73.293,72.629,-0.0008
2011-05-19,73.013,72.849,73.022,72.52,0.0022
2011-05-18,72.855,73.295,73.423,72.565,-0.0062
2011-05-17,73.309,73.125,73.501,72.746,0.0023
2011-05-16,73.138,72.566,73.404,72.34,0.0064
2011-05-13,72.672,73.264,73.303,72.431,-0.0084
2011-05-12,73.284,72.918,73.44,72.848,0.005
2011-05-11,72.923,73.226,73.821,72.771,-0.0042
2011-05-10,73.234,73.226,73.382,73.005,-0.0009
2011-05-09,73.3,73.233,73.317,72.69,0.001
2011-05-06,73.225,73.371,73.694,73.085,-0.0019
2011-05-05,73.365,73.151,73.939,73.089,0.0028
2011-05-04,73.159,73.291,73.648,73.006,-0.0022
2011-05-03,73.321,73.687,73.895,73.207,-0.0056
2011-05-02,73.733,73.921,74.152,73.524,-0.0025
2011-04-29,73.921,73.684,74.079,73.522,0.0031
2011-04-28,73.689,73.686,74.166,73.649,-0.0004
2011-04-27,73.716,73.3,73.822,73.034,0.0052
2011-04-26,73.335,73.313,73.74,72.855,-0.0003
2011-04-25,73.357,72.99,73.628,72.766,0.0055
2011-04-22,72.958,73.255,73.343,72.897,-0.0047
2011-04-21,73.306,72.573,73.741,72.387,0.0093
2011-04-20,72.629,72.399,72.886,72.224,0.0028
2011-04-19,72.425,72.302,72.673,71.864,-0.0001
2011-04-18,72.433,72.189,72.542,71.892,0.0023
2011-04-15,72.268,72.74,72.912,72.104,-0.0067
2011-04-14,72.759,72.4,72.786,71.967,0.0044
2011-04-13,72.438,71.837,72.627,71.766,0.008
2011-04-12,71.864,72.498,72.591,71.641,-0.0095
2011-04-11,72.55,72.157,72.845,71.751,0.0045
2011-04-08,72.223,72.139,72.503,71.843,0.0011
2011-04-07,72.143,71.935,72.214,71.704,0.0023
2011-04-06,71.977,72.174,72.388,71.685,-0.0034
2011-04-05,72.225,71.558,72.296,71.232,0.0088
2011-04-04,71.595,71.58,71.874,71.316,0.0008
2011-04-01,71.536,71.388,71.742,71.069,0.0019
2011-03-31,71.403,71.724,72.131,71.296,-0.0048
2011-03-30,71.745,71.519,72.034,71.273,0.0026
2011-03-29,71.56,71.599,71.782,71.319,-0.0011
2011-03-28,71.637,71.51,71.875,71.346,-0.0009
2011-03-25,71.7,71.953,72.12,71.356,-0.0044
2011-03-24,72.016,72.723,72.946,71.837,-0.0093
2011-03-23,72.692,73.428,73.695,72.65,-0.0103
2011-03-22,73.445,73.322,73.807,73.126,0.0006
2011-03-21,73.403,72.999,73.475,72.763,0.0042
2011-03-18,73.094,72.847,73.162,72.443,0.0027
2011-03-17,72.895,72.122,73.04,71.971,0.0075
2011-03-16,72.355,72.635,72.8,71.975,-0.0037
2011-03-15,72.623,72.858,73.176,72.325,-0.0037
2011-03-14,72.894,72.755,72.993,72.193,0.0056
2011-03-11,72.485,72.429,72.779,72.237,0.0006
2011-03-10,72.444,72.692,73.185,72.349,-0.0042
2011-03-09,72.753,72.764,73.239,72.601,-0.0004
2011-03-08,72.783,72.842,73.046,72.602,-0.0016
2011-03-07,72.898,73.041,73.683,72.734,-0.0026
2011-03-04,73.091,72.993,73.382,72.872,0.0008
2011-03-03,73.032,73.148,73.652,72.949,-0.0021
2011-03-02,73.188,72.898,73.269,72.655,0.0035
2011-03-01,72.934,73.575,73.746,72.844,-0.0089
2011-02-28,73.592,72.902,73.678,72.524,0.0084
2011-02-25,72.977,73.283,73.454,72.643,-0.0047
2011-02-24,73.324,73.038,73.766,72.942,0.0034
2011-02-23,73.079,72.875,73.544,72.741,0.0026
2011-02-22,72.888,72.894,73.328,72.449,-0.0003
2011-02-21,72.91,73.328,73.376,72.808,-0.0052
2011-02-18,73.291,73.192,73.468,72.877,0.0012
2011-02-17,73.204,73.046,73.368,72.92,0.0023
2011-02-16,73.038,73.348,73.525,72.732,-0.0047
2011-02-15,73.382,72.822,73.549,72.708,0.0069
2011-02-14,72.876,72.816,73.321,72.615,-0.0019
2011-02-11,73.013,73.444,73.704,72.823,-0.0065
2011-02-10,73.489,73.009,73.675,72.846,0.0027
2011-02-09,73.29,72.646,73.326,72.321,0.0083
2011-02-08,72.69,72.997,73.365,72.5,-0.0044
2011-02-07,73.012,73.333,73.704,72.888,-0.0052
2011-02-04,73.397,73.527,73.787,72.987,-0.0018
2011-02-03,73.526,73.727,74.259,73.427,-0.0031
2011-02-02,73.751,73.347,74.091,73.14,0.0051
2011-02-01,73.374,73.344,73.954,73.23,-0.0004
2011-01-31,73.4,72.784,73.739,72.393,0.0077
2011-01-28,72.84,72.495,73.103,72.086,0.0049
2011-01-27,72.488,72.563,72.923,72.172,0.0021
2011-01-26,72.337,72.186,72.496,71.713,-0.0003
2011-01-25,72.362,72.656,72.922,71.996,-0.0049
2011-01-24,72.716,72.969,73.079,72.577,-0.0044
2011-01-21,73.037,72.629,73.097,72.184,0.0051
2011-01-20,72.669,72.478,72.959,71.981,0.0021
2011-01-19,72.519,72.511,72.833,72.275,-0.0001
2011-01-18,72.528,72.177,72.999,72.082,0.0042
2011-01-17,72.228,71.952,72.69,71.549,0.0037
2011-01-14,71.96,71.438,72.182,71.143,0.0072
2011-01-13,71.446,70.925,71.692,70.666,0.0069
2011-01-12,70.957,70.356,71.05,70.196,0.0069
2011-01-11,70.469,70.579,70.888,70.03,-0.0022
2011-01-10,70.626,70.377,70.809,70.245,0.0009
2011-01-07,70.564,70.116,70.638,69.647,0.0057
2011-01-06,70.162,70.297,70.49,69.84,-0.0019
2011-01-05,70.299,69.981,70.838,69.788,0.0041
2011-01-04,70.014,69.054,70.49,68.919,0.0134
2011-01-03,69.088,69.589,69.707,68.842,-0.0096
2010-12-31,69.758,69.115,70.049,69.095,0.0087
2010-12-30,69.157,69.644,69.908,68.849,-0.0074
2010-12-29,69.672,69.223,69.757,69.111,0.0068
2010-12-28,69.201,69.551,70.113,69.007,-0.0055
2010-12-27,69.584,69.504,69.975,69.137,0.0007
2010-12-24,69.537,69.523,70.016,69.384,-0.0003
2010-12-23,69.558,69.243,69.656,69.115,0.0039
2010-12-22,69.285,69.904,70.092,69.075,-0.0093
2010-12-21,69.938,70.313,70.586,69.715,-0.006
2010-12-20,70.357,69.996,70.826,69.819,0.0026
2010-12-17,70.172,71.018,71.096,69.784,-0.0124
2010-12-16,71.05,70.483,71.138,70.274,0.0079
2010-12-15,70.49,70.872,71.526,70.424,-0.006
2010-12-14,70.915,71.633,71.721,70.749,-0.0101
2010-12-13,71.642,71.059,71.85,70.771,0.0069
2010-12-10,71.151,71.161,71.6,70.823,-0.0008
2010-12-09,71.209,71.105,71.549,70.973,0.0008
2010-12-08,71.149,70.63,71.429,70.311,0.007
2010-12-07,70.654,70.399,70.802,70.219,0.0032
2010-12-06,70.427,70.706,70.846,70.258,-0.0061
2010-12-03,70.861,70.412,70.91,70.106,0.0057
2010-12-02,70.459,70.721,70.938,70.147,-0.0047
2010-12-01,70.791,71.238,71.483,70.455,-0.0062
2010-11-30,71.23,71.324,71.671,71.064,-0.002
2010-11-29,71.373,71.435,71.669,71.053,-0.0012
2010-11-26,71.457,71.79,72.103,71.357,-0.005
2010-11-25,71.817,72.081,72.179,71.59,-0.0044
2010-11-24,72.131,71.844,72.444,71.721,0.0033
2010-11-23,71.897,72.52,72.956,71.757,-0.0091
2010-11-22,72.56,72.3,72.96,72.009,0.0025
2010-11-19,72.381,72.556,72.923,72.126,-0.0033
2010-11-18,72.624,71.707,72.658,71.408,0.0126
2010-11-17,71.717,71.966,72.058,71.354,-0.0042
2010-11-16,72.02,72.544,72.867,71.93,-0.0083
2010-11-15,72.624,72.315,72.837,71.849,0.0051
2010-11-12,72.254,71.725,72.478,71.088,0.007
2010-11-11,71.75,71.384,71.854,71.064,0.0046
2010-11-10,71.425,70.857,71.491,70.529,0.0073
2010-11-09,70.905,71.531,71.757,70.706,-0.0094
2010-11-08,71.578,71.092,71.797,70.547,0.0072
2010-11-05,71.069,71.554,71.721,70.932,-0.0069
2010-11-04,71.566,71.426,71.942,71.103,0.0024
2010-11-03,71.394,71.175,71.725,70.74,0.0029
2010-11-02,71.189,71.322,71.448,70.822,-0.0018
2010-11-01,71.316,71.087,71.492,70.889,0.003
2010-10-29,71.1,70.708,71.246,70.467,0.0046
2010-10-28,70.773,70.103,70.968,69.794,0.0094
2010-10-27,70.115,70.416,70.681,69.832,-0.0042
2010-10-26,70.411,69.776,70.749,69.449,0.0089
2010-10-25,69.788,69.714,70.053,69.48,-0.0005
2010-10-22,69.824,69.599,70.154,69.28,0.0033
2010-10-21,69.594,70.051,70.191,69.345,-0.0076
2010-10-20,70.13,69.594,70.318,69.288,0.0061
2010-10-19,69.706,70.335,70.703,69.453,-0.0085
2010-10-18,70.304,70.41,70.581,70.022,-0.0026
2010-10-15,70.487,70.586,71.059,70.361,-0.0017
2010-10-14,70.608,70.465,71.058,70.343,0.0011
2010-10-13,70.529,70.323,70.701,69.838,0.0023
